subject|content_html|ip_address|created_date|user|item
|。。。。佩服呵呵，不过写的挺好的：）|221.226.2.221|2004-04-27 14:51:00.000|伤痕|91
|<P>棒！</P>|218.12.164.134|2005-12-26 00:46:54.797|titi|91
|<p>说实话那没什么神秘的，我看得懂只是不想看，这部小说写得实在不怎么样。侦探就是侦探，不是设计师也不是建筑师，毫无疑问这部作品里介绍的方法现实可行，但不一定可行的东西就是好的就能吸引人，推理小说中作家要干的是沿着逻辑去找凶手而不是绞尽脑子去设计一中乱七八糟的杀人方法或技巧，就跟范达因的大多数作品一样无聊~</p>|218.19.170.142|2005-03-15 23:47:43.173|nys82|174
|真的有你说的那么好吗?怀疑ing...<br>我看完后怎么有受骗上当的感觉...|202.109.3.98|2004-01-13 00:30:00.000|罗塞帝|238
|请介绍一下，作者？内容？<br>还有有没有中译本|218.94.60.11|2004-01-13 00:49:00.000|无限天空|238
|不好意思，在网上搜到了。去看看|218.94.60.11|2004-01-13 00:59:00.000|无限天空|238
|我在北京可是怎么也买不到既晴的书，在网上看书太累了，请帮忙推荐哪里可以买到他的书，我现在想买他的新书，〈不要下地下铁〉，还有他推荐过的知识性很丰富的〈玫瑰的名字〉，我在台湾网上看了，封面很漂亮，可惜买不了，奇怪大陆真的这么没有推理气氛么？<br>|211.167.200.118|2004-01-13 02:12:00.000|靠卡卡|238
|我是从yesasia.com买的，需时差不多十天。《别进地下道》在上述网站有售，不过我订购的都三个礼拜过去了还未曾收到(好像缺货)，另外，在crown.com.tw有买，books.com.tw好像也有。<br><br>我觉得这类小说的好与坏，并不是传统推理小说的标准能够去衡量的。|141.149.155.96|2004-01-13 02:45:00.000|乐阳|238
|观《请把门锁好》之我见：<br>作者本人这样说：这不是一部完全意义上的推理小说，但是里面有很多有关推理的东西。<br>我觉得这真是很谦虚的说法啊。可能正是由于这部作品对传统推理作品的突破，就是说里面加入了很多其他的因素（比如魔幻什么的），但实际上推理性是超强的。<br>很多人在看不懂别人作品的时候，总是责怪是作者的责任，当然，这个作品是有些讲不通的地方，但我真的不知道哪一部传统的推理小说是完全没破绽的。<br>总之，这是很棒的作品，我非常喜欢。也谢谢斑竹的推荐，我努力找找看。<br>另外，我很想把自己的作品发上来让专业的兄长们提提意见，可以么。|211.167.200.118|2004-01-13 07:17:00.000|靠卡卡|238
|其实我只是个学生，台湾的书是很贵的，有点买不起的说。|211.167.200.118|2004-01-13 07:21:00.000|靠卡卡|238
|其实我们也不是专业的，只是一种爱好而已，读到一部好看的小说，总是感觉很好。如果你自己也在创作推理小说，建议贴到推理之门，或阿嘉莎等论坛，哪里会有更多的读者呢。|128.205.205.89|2004-01-13 17:34:00.000|乐阳|238
|谢谢乐阳对我的期待与鼓励，我会继续努力创作的，今年计划开始撰写正统的本格推理，若有机会发表，也还请不吝指教哦！<br>也谢谢靠卡卡君的支持 ^_^<br>|61.230.34.202|2004-01-28 04:03:00.000|既晴|238
|天啊，这一部连网上也找不到连接，没法读到啊|211.167.200.118|2004-01-15 01:04:00.000|靠卡卡|239
|没办法啊，司陶特的书内地就出过一本，还是n年以前的。<br><br>还有这么多的大师名家我们没接触过，太遗憾了。希望最近出版社能有一些大动作。|218.6.24.144|2004-01-15 15:03:00.000|bcbulang|239
|谋杀专门店出过两本，分别是三十八期的吓破胆联盟和三十九期的红盒子。毒蛇腹也出过，好像叫高尔夫球场谋杀案？只是非会员似乎买不到的呃。再有应该就是国内出版的《最后的推理》吧。|66.119.34.39|2004-01-15 19:24:00.000|乐阳|239
|不知你还记得我么,经过你推荐我已经去过台湾购书网站看了,台版书换算成人民币奇贵无比,而且邮寄安全问题也相当令人担忧.<br>但是我实在太想看这书了,所以,我想拜托大哥,可不可以托你帮我买这本书,因为你毕竟在大陆,我和你比较好联系,谢谢了,万分感谢,请答应我吧.|211.167.200.118|2004-01-27 12:45:00.000|是kaokaka|242
|你好，很想帮你这么热心的网友，只是我并不在大陆呐，实在有心无力。它的确是相当昂贵，唯一比较划算的办法是和别人合买以分担邮费了。|66.119.34.39|2004-01-27 14:37:00.000|乐阳|242
|这办法不错，谢谢拉！在此征询一下，谁要和我合买啊？|211.167.200.118|2004-01-29 01:08:00.000|kaokaka|242
|谢谢乐阳对我新作的宝贵建议，其实我一开始的创作都是推理小说，而《请把门锁好》及《别进地下道》这两部惊悚作品，算是我在意外情况下的另类尝试。<br>今年开始，刚好有机会出版几年前所写的推理小说，不过目前还正在重新润饰修订，希望到时候还能多交流讨论。<br>我的创作受岛田庄司的影响颇深，他努力开拓推理书写视野的勇气令我由衷佩服，我自己也会继续追随效法的啦。<br>|61.230.34.202|2004-01-29 07:20:00.000|既晴|242
|既晴兄所说的那部&quot;几年前所写的推理小说&quot;，大概便是闻名已久的《魔法妄想》吧。正期待着它的正式出版啊。|218.102.21.137|2004-01-29 11:31:00.000|香港的路人甲|242
