id|name|tagcount
1|推理|1825
2|西村京太郎|21
3|日本|901
4|小说|1430
5|短篇集|120
6|推理小说|804
7|侦探|369
8|日本推理|278
9|悬疑|311
10|MAL|1
11|Suspense|1
12|康拉德|1
13|英国文学|16
14|英国|321
15|二十世纪外国文学丛书|1
16|约瑟夫·康拉德|1
17|特情|1
18|待购|35
19|埃勒里·奎因|43
20|美国|312
21|侦探小说|263
22|ElleryQueen|20
23|夏树静子|17
24|多人选集|10
25|外国文学|233
26|推理小說|39
27|推理(日)|3
28|奎因|6
29|侦探悬疑|5
30|山村美纱|12
31|宫部美幸|15
32|直木奖|15
33|社会派|114
34|日本文学|343
35|当代|3
36|亚森・罗宾|16
37|莫里士.卢布朗|15
38|法国|47
39|罗宾与怪人|1
40|怪盗亚森・罗宾|3
41|推理悬疑小说|4
42|日本推理小说文库|53
43|达希尔・哈米特|4
44|硬汉|6
45|马耳他之鹰|1
46|钱德勒|22
47|硬汉派|3
48|哈米特|1
49|达希尔·哈米特|5
50|约瑟芬・铁伊|4
51|铁伊|4
52|推理中的经典|1
53|吸血蝙蝠|1
54|加德纳|4
55|赖唐诺|1
56|横沟正史|13
57|金田一耕助|12
58|金田一|10
59|雾舍巧|1
60|梅菲斯特奖|41
61|新本格|92
62|二重身宫|1
63|人间蒸发|1
64|模仿犯|2
65|弗朗西斯|1
66|文学|65
67|爱伦·坡|26
68|美国文学|17
69|爱伦.坡|3
70|论文|3
71|王逢振|1
72|福尔摩斯|27
73|柯南道尔|10
74|经典|57
75|传记|15
76|理论研究|29
77|福尔摩斯的世界|1
78|达・芬奇密码|1
79|宗教|4
80|丹・布朗|1
81|丹·布朗|1
82|清凉院流水|5
83|米涅·渥特丝|6
84|米涅渥特丝|1
85|女雕刻家|1
86|我的青春记忆书|1
87|孙了红|3
88|程小青|3
89|作家研究|2
90|日本小说|16
91|千钧一发|1
92|森村诚一|95
93|阿加莎·克里斯蒂|246
94|自传|2
95|AgathaChristie|167
96|阿婆|81
97|阿加莎|12
98|告别天使|1
99|黑岩重吾|1
100|渥特丝|3
101|罪案小说|7
102|英文|13
103|江户川乱步|12
104|黄金假面人|1
105|康纳尔·.伍尔里奇|1
106|黑色悬疑小说|1
107|美国文学，康纳尔·.伍尔里奇|1
108|跟侦探、推理有关的|6
109|法律|5
110|电影|4
111|法学|1
112|法律文化|1
113|文化|6
114|影像中的正义|1
115|电影类|1
116|口|1
117|小说·推理。|11
118|民國|1
119|血纸人|1
120|cheer|1
121|爱伦　坡|1
122|恐怖|11
123|美国小说中译本|1
124|梅森|4
125|厄尔·斯坦利·加德纳|3
126|侦探推理|82
127|奇岩城|1
128|书虫|2
129|神秘及幻想故事集|1
130|书虫系列|1
131|惊悚|13
132|英语|23
133|消失的王冠|1
134|沉默的羔羊|4
135|托马斯·哈里斯|4
136|心理学|5
137|约翰·狄克逊·卡尔|43
138|密室|50
139|约翰·狄克森·卡尔|109
140|不可能犯罪|131
141|范达因|4
142|范·达因|7
143|谋杀专门店|38
144|美国推理小说|1
145|勒鲁|2
146|外国|5
147|外国小说|9
148|奥斯汀·弗里曼|5
149|弗里曼|1
150|黑客|1
151|杰弗里·迪弗|2
152|犯罪|32
153|杰弗瑞·迪佛|5
154|杰弗里.迪弗|1
155|mystery|10
156|内地原创推理|1
157|恐怖悬疑|1
158|浅田次郎|1
159|淺田次郎|1
160|铁道员|1
161|迪伦马特|2
162|瑞士|2
163|法官和他的刽子手|2
164|德语文学|2
165|威尔基·柯林斯|4
166|冷硬|28
167|Dashiell_Hammett|2
168|冷血硬汉型|2
169|私家侦探|1
170|蝴蝶梦|3
171|名著|2
172|外国名著|2
173|红圈|1
174|人性的证明|1
175|雷蒙德·钱德勒|21
176|我爱图书馆|3
177|边缘人生|1
178|悬疑推理小说|3
179|菲利普·马洛|1
180|入门|1
181|搞笑|2
182|在线看|1
183|童年记忆|1
184|世界探案经典|10
185|日本卷|1
186|悬念|5
187|比较|14
188|儿童文学|4
189|德国|3
190|约阿希姆·弗里德里希|1
191|童书|2
192|少年侦探|1
193|留在记忆中的经典童话|1
194|詹姆士·李·贝克|1
195|忧伤黑樱桃|1
196|西方|3
197|森村誠一|15
198|推理　侦探　经典　|1
199|Chandler|2
200|傅惟慈|1
201|硬汉私家侦探|1
202|史料|1
203|新编清末民初小说目录|1
204|目录学|1
205|书|2
206|汉学|1
207|日系推理|159
208|吉村达也|1
209|.■|17
210|日韩|1
211|桐野夏生|2
212|日本推理作家协会奖|39
213|冷硬派|12
214|福井晴敏|4
215|江户川乱步奖|46
216|池井户润|1
217|悬崖山庄奇案|1
218|A_在架在读/待读|1
219|貴志祐介|5
220|贵志祐介|6
221|日本推理小说|50
222|人性|9
223|高野和明|3
224|厄尔·德尔·比格斯|3
225|陈查理|3
226|世界侦探惊险名著文库|5
227|群众|11
228|玛丽·莱茵哈特|2
229|玛丽.莱茵哈特|1
230|乔治·西默农|18
231|比利时|22
232|梅格雷探长|2
233|欧美|45
234|柯林斯|3
235|深刻|1
236|月亮宝石|1
237|社会推理|6
238|通俗|1
239|亚森・罗宾探案全集（全六册）|1
240|爱伦坡|4
241|坡|1
242|涉过愤怒的河|1
243|追捕|1
244|中国|21
245|哈兰·科本|2
246|篮筐下的阴谋|1
247|国外小说|7
248|彼得·罗宾森|1
249|欧美推理|101
250|班克斯警探|1
251|律师们|1
252|梅森探案|2
253|十津川|6
254|历史|14
255|紀實|1
256|二战|3
257|日本历史|1
258|西默农|20
259|法语|1
260|世界侦探推理名著精选|3
261|不知火京介|1
262|赤井三寻|1
263|恐怖的夏夜|1
264|赤川次郎|6
265|三姐妹|1
266|日语|7
267|日文|24
268|文学理论|2
269|文学史|5
270|通俗小说|10
271|衍生思维|1
272|文化产业|1
273|天童荒太|10
274|犯罪心理|4
275|永远是孩子|1
276|.已有|4
277|童话|2
278|猪宝弗雷迪|1
279|已购|1
280|绫辻行人|21
281|馆系列|8
282|本格派|15
283|0.推理|41
284|微型小说，侦探|1
285|P.D.詹姆斯|10
286|林真理子|2
287|只要赶上末班飞机|1
288|日本女性文学|1
289|女性|2
290|2.短篇|3
291|悬疑惊险|2
292|劳拉·威尔森|1
293|希区柯克|1
294|AlfredHitchcock|1
295|借过这本书|1
296|现代文学|3
297|推理短篇集|9
298|旧|12
299|推理&科幻|2
300|whodunit|3
301|2010年阅|7
302|合集|13
303|乔治·西姆农|3
304|人骨拼图|1
305|迪佛|1
306|亚森・罗平|10
307|莫里斯·勒布朗|10
308|法国文学|7
309|推理悬疑|6
310|亚森罗平|3
311|侠盗|1
312|社会|6
313|Poe|3
314|剑桥文学指南|1
315|评论|4
316|Lib|1
317|爱伦。坡|2
318|约翰·福尔斯|1
319|收藏家|1
320|历史、考古|1
321|史|1
322|悬念文学|1
323|文学研究|4
324|欧美悬念文学简史（彩印本）|1
325|巴赫金|1
326|文艺理论|2
327|巴赫金、对话理论及其他|1
328|托多洛夫|1
329|Tzvetan_Todorov|1
330|文论|6
331|文论种种|1
332|经典读物|1
333|少年大侦探|1
334|江戶川亂步|1
335|Detective|14
336|野性的证明|1
337|青春的证明|1
338|漫画|21
339|柯南|2
340|青山刚昌|1
341|日本漫画|15
342|名侦探柯南|1
343|松本清张|18
344|内田康夫|8
345|浅见光彦|7
346|消遣|5
347|闲暇|1
348|时刻表推理|1
349|爱德华·霍克|15
350|Detective~my|1
351|吸血鬼|2
352|布莱姆・斯托克|1
353|德库拉|1
354|哥特|3
355|神秘|1
356|珠海出版社|2
357|日本文學|9
358|波洛|41
359|游记|1
360|英语入门|1
361|专项文体史|1
362|中国文学|2
363|社会科学|1
364|小池真理子|2
365|畸恋|1
366|官能|1
367|恋|1
368|艾柯|3
369|意大利|3
370|玫瑰的名字|1
371|UmbertoEco|2
372|首藤瓜於|1
373|脑人|1
374|其他侦探推理小说|1
375|哥特文学|1
376|诗歌|1
377|爱伦·坡集|1
378|金庸|1
379|武侠|1
380|天龙八部|1
381|武侠小说|1
382|乌鸦并不是不祥。|1
383|恶魔吹着笛子来|1
384|无人生还|3
385|ABC谋杀案|1
386|心理|5
387|心理，悬疑，恐怖，小说|1
388|短篇小说|9
389|约翰·勒卡雷|22
390|间谍小说|10
391|间谍|20
392|约翰.勒卡雷|9
393|精彩|2
394|魔幻|3
395|Fiction|7
396|上海人民美术出版社|1
397|世界名著|1
398|外國文學|3
399|经济学|2
400|经济|1
401|致命的均衡|1
402|经济学小说|1
403|短篇合集|1
404|未标签|1
405|八大奇案|1
406|奥康奈尔|1
407|未评|1
408|查尔斯|1
409|绿眼睛的少女|1
410|野泽尚|2
411|有栖川有栖|10
412|本格派推理|2
413|达夫妮・杜穆里埃|1
414|爱情|9
415|神秘主义|1
416|艾伦·坡|1
417|歌特|3
418|霍桑|2
419|中国侦破小说之父|1
420|松本清張|5
421|砂之器|1
422|哥特小说|2
423|文学评论|5
424|暗黑系|3
425|战国|1
426|日本战国|1
427|历史小说|4
428|菲洛·万斯|2
429|班森杀人事件|1
430|S.S范达因|3
431|古典解谜|3
432|高罗佩|6
433|狄仁杰|6
434|公案|1
435|画集|2
436|插画|1
437|美术|1
438|歇洛克·福尔摩斯|6
439|多图|1
440|柯南·道尔|4
441|帕特丽夏・康薇尔|2
442|法医|2
443|侦破小说|3
444|侦破|1
445|约翰·格里森姆|2
446|法律小说|2
447|美國|6
448|欧美及其他国家|2
449|美|2
450|翻译|4
451|卡斯顿·勒鲁|2
452|加斯东·勒鲁|3
453|狄更斯|1
454|未完成|2
455|查尔斯·狄更斯|2
456|德鲁德疑案|1
457|classics|1
458|2009|4
459|英国作家|1
460|巴拿马裁缝|1
461|尼罗河上的惨案|2
462|渡边容子|1
463|**台·M木馬文化*|17
464|John_le-Carre|18
465|John_le_Carré|17
466|岛田庄司|73
467|御手洗洁|25
468|島田莊司|35
469|律师|1
470|约翰．格里森姆|1
471|种族|1
472|艾勒里·奎因|11
473|艾勒里·奎恩|5
474|唐諾|2
475|唐诺|2
476|台湾|7
477|导读|3
478|康永推荐|2
479|岡本綺堂|2
480|冈本绮堂|12
481|江户时代|2
482|時代小說|1
483|Hammett|1
484|达希尔·汉密特|1
485|伦敦谍影|1
486|勒卡雷|9
487|fiction(short)|1
488|灰色，晦澀，POE|1
489|POEMS|1
490|中短篇小说|1
491|戏|2
492|文學|9
493|翻譯小說|6
494|間諜小說|1
495|乙一|61
496|被遗忘的故事|2
497|奇幻|21
498|轻小说|13
499|荣誉学生|1
500|傳記|1
501|阿嘉莎‧克莉絲蒂|52
502|人物聚焦|1
503|Agatha_Christie|25
504|遠流|1
505|力作。|1
506|姑娘@張定綺|1
507|约翰勒卡雷|1
508|史迈利三部曲|4
509|董乐山|1
510|英国小说|1
511|本格|32
512|taiban|59
513|处女作|14
514|推理．懸疑|18
515|伊坂幸太郎|35
516|懸疑推理驚悚|4
517|東野圭吾|95
518|东野圭吾|97
519|宮部美幸|7
520|京極夏彥|31
521|怪談|1
522|京极夏彦|34
523|怪谈|5
524|小說|68
525|歌野晶午|3
526|叙述性诡计|11
527|CARR|1
528|中国台湾|5
529|工具書|1
530|推理&侦探|2
531|研究|8
532|新本格派|8
533|森博嗣|16
534|犀川&萌繪系列|5
535|1996|1
536|火村英生|1
537|无足迹杀人|7
538|神探伽利略|1
539|S&M系列|11
540|犀川&萌绘系列|3
541|Holmes|6
542|福学|2
543|Annotated|3
